user_id,variant,timestamp,pre_metric,prior_value,segment,outcome,refund_flag
1,control,2025-01-01 00:00:00,46.48073347209621,53.882910108585335,mixed,24.839916188048065,0
2,treatment,2025-01-01 00:01:00,44.91786813360774,56.20659618148191,repeat_buyers,51.76781634615448,0
3,control,2025-01-01 00:02:00,33.83022394119176,59.80390132327544,repeat_buyers,63.71271154237856,0
4,control,2025-01-01 00:03:00,60.73586270859214,42.069668518660116,mixed,49.59768943108896,0
5,treatment,2025-01-01 00:04:00,57.748795537441644,41.83772830808785,price_sensitive,76.91554712379246,0
6,treatment,2025-01-01 00:05:00,52.918243639494584,41.50263000624482,price_sensitive,39.892473439653145,0
7,treatment,2025-01-01 00:06:00,39.665114242720236,54.389411539235496,mixed,34.830062750705,0
8,treatment,2025-01-01 00:07:00,59.09911783047347,57.09329781798356,repeat_buyers,49.66845218137801,0
9,control,2025-01-01 00:08:00,53.704206465689815,62.57548944758767,repeat_buyers,21.884118775655136,0
10,control,2025-01-01 00:09:00,53.43131734444311,51.5951651700208,mixed,31.135799713076366,0
11,control,2025-01-01 00:10:00,46.207096341827985,57.023207814806774,repeat_buyers,49.1136165030593,0
12,treatment,2025-01-01 00:11:00,56.2740255856143,48.52268584448196,mixed,51.46434325562962,0
13,treatment,2025-01-01 00:12:00,54.805684601194194,59.31748831354098,repeat_buyers,77.70118073496201,1
14,treatment,2025-01-01 00:13:00,32.540957003660004,39.13149415076225,price_sensitive,45.43667655465667,0
15,treatment,2025-01-01 00:14:00,39.30851091545317,40.24849149490748,price_sensitive,60.76288822609098,0
16,control,2025-01-01 00:15:00,51.30919591338884,66.77855761708898,repeat_buyers,54.38961800632117,0
17,treatment,2025-01-01 00:16:00,40.20066980402079,45.314892735347634,mixed,34.29974967828587,0
18,treatment,2025-01-01 00:17:00,48.58304509990304,35.07542659512402,price_sensitive,36.318234465793815,0
19,treatment,2025-01-01 00:18:00,48.75897708865491,49.29670257987839,mixed,41.87762828402929,0
20,treatment,2025-01-01 00:19:00,53.629075756338594,45.55136205065806,mixed,41.922976071505246,0
21,control,2025-01-01 00:20:00,41.487204590708544,39.1151316891221,price_sensitive,32.93231958831734,0
22,treatment,2025-01-01 00:21:00,51.967456754664134,70.73988976689625,repeat_buyers,59.42795903397164,0
23,treatment,2025-01-01 00:22:00,36.760311306513884,54.363513299935875,mixed,34.76308011796584,0
24,control,2025-01-01 00:23:00,46.83115952555853,43.32619763403435,mixed,22.328650168396578,0
25,treatment,2025-01-01 00:24:00,34.13547423825142,47.971174171602385,mixed,64.05134986288363,0
26,control,2025-01-01 00:25:00,52.45344445078619,55.95002527503868,mixed,52.73954633146353,0
27,control,2025-01-01 00:26:00,62.90580472664112,49.965347739571065,mixed,65.66872179207012,1
28,treatment,2025-01-01 00:27:00,35.44370188887261,33.48070177581322,price_sensitive,46.830809740806565,0
29,treatment,2025-01-01 00:28:00,56.4034084531696,62.665762836235366,repeat_buyers,38.374499287181195,0
30,treatment,2025-01-01 00:29:00,77.10002249060864,47.57808246843051,mixed,76.8423648423943,0
31,control,2025-01-01 00:30:00,40.18347919298331,53.52107449695348,mixed,74.95392782473094,0
32,treatment,2025-01-01 00:31:00,45.27457543143858,61.517559408561496,repeat_buyers,61.147313228415534,0
33,control,2025-01-01 00:32:00,43.24990963065162,29.08972907272204,price_sensitive,57.2029931791324,0
34,treatment,2025-01-01 00:33:00,44.481344507143724,49.31102524553537,mixed,35.2653612141891,0
35,control,2025-01-01 00:34:00,37.24961336622197,56.87846144066642,repeat_buyers,20.859407547857593,0
36,treatment,2025-01-01 00:35:00,46.99958801733043,53.223555792892256,mixed,37.42981020279224,0
37,treatment,2025-01-01 00:36:00,46.21738323593029,47.34774286044987,mixed,16.825713090689227,0
38,control,2025-01-01 00:37:00,51.791133209571136,54.79703328357154,mixed,55.83270134996178,0
39,control,2025-01-01 00:38:00,46.66755696809,41.872250601172595,price_sensitive,37.520323779234445,0
40,treatment,2025-01-01 00:39:00,34.92775300047208,33.74473137159026,price_sensitive,21.11822769865448,0
41,control,2025-01-01 00:40:00,54.55908350853615,49.170058446484184,mixed,53.591610740822034,0
42,control,2025-01-01 00:41:00,45.38887042345534,52.16911632714742,mixed,25.983227740750763,0
43,control,2025-01-01 00:42:00,54.29159343779012,49.856753030249784,mixed,80.62804991801866,0
44,control,2025-01-01 00:43:00,54.68231084320485,64.57892482901305,repeat_buyers,49.932298424347934,0
45,treatment,2025-01-01 00:44:00,56.92201944095652,49.540363325251256,mixed,49.67397211486376,0
46,treatment,2025-01-01 00:45:00,82.54331261103704,28.241334796984663,price_sensitive,79.66120513219495,0
47,control,2025-01-01 00:46:00,45.38567488425574,48.47822738889259,mixed,38.993807962623286,0
48,control,2025-01-01 00:47:00,55.92199923306638,35.0773340307264,price_sensitive,56.04533782283736,1
49,control,2025-01-01 00:48:00,50.36905830234469,47.80547314813183,mixed,23.271964966010646,0
50,control,2025-01-01 00:49:00,58.327250138434565,40.737848229404264,price_sensitive,23.05058857378142,0
51,control,2025-01-01 00:50:00,58.70359394479158,60.39953598041441,repeat_buyers,68.24850152633286,0
52,treatment,2025-01-01 00:51:00,71.89687446027695,44.07574176817007,mixed,93.31225442831703,1
53,control,2025-01-01 00:52:00,48.28398152729348,46.97354200074432,mixed,63.427016139593334,0
54,control,2025-01-01 00:53:00,42.327801585079285,56.81919066552651,repeat_buyers,58.03668944679712,0
55,control,2025-01-01 00:54:00,39.280661745732004,40.76306274379818,price_sensitive,30.381883285244474,0
56,control,2025-01-01 00:55:00,32.90766288183322,39.502673983335626,price_sensitive,46.29985086648656,0
57,treatment,2025-01-01 00:56:00,69.34760410182855,54.390148595515576,mixed,55.771423245510896,0
58,treatment,2025-01-01 00:57:00,57.69570195233958,50.74547749061999,mixed,49.98520602443577,0
59,treatment,2025-01-01 00:58:00,68.92860883501498,40.63965750708132,price_sensitive,70.27447923229704,0
60,treatment,2025-01-01 00:59:00,67.53934898699899,45.85503621465576,mixed,94.181886140154,0
61,treatment,2025-01-01 01:00:00,50.05962417448736,49.24934107875643,mixed,45.297773191596775,0
